Unnamed: 0,Hauptbedeutung,on-yomi 1,Bedeutung on-yomi 1,on-yomi 2,Bedeutung on-yomi 2,kun-yomi 1,Bedeutung kun-yomi 1,kun-yomi 2,Bedeutung kun-yomi 2
教,Unterricht,KYOU,Lehre,,,oshi.eru,unterrichten,oso.waru,unterrichtet werden
室,Zimmer,SHITSU,,,,muro,(Keller),,
言,sagen,GEN,,GON,,i.u,,koto,Wort
葉,Blatt,YOU,,,,ha,Laub,,
聞,hören,BUN,,*MON,,ki.ku,"hören, fragen",ki.koeru,hören können [JH]
読,lesen,DOKU,,*TOU,,yo.mu,,,
見,(zu/an-)sehen,KEN,,,,mi.ru,,mi.eru,sehen können [JH]
書,schreiben,SHO,Buch,,,ka.ku,,,
一,eins,ICHI,,ITSU,,hito.tsu,,hito,
度,Mal,DO,Grad,*TAKU,Vorbereitung,tabi,"das (1., 2. usw.) Mal",,
生,leben,SEI,,SHOU,,i.kiru / .kasu,"leben / leben lassen, zur Geltung bringen",u.mu / .mareru,gebären / geboren werden
活,leben,KATSU,aktiv,,,,,,
失,verlieren,SHITSU,Fehler,,,ushina.u,,,
礼,Höflichkeit,REI,Dank,,,,,,
数,Zahl,SUU,,,,kazu,,kazo.eru,zählen
買,kaufen,BAI,,,,ka.u,,,
物,Gegenstand,BUTSU,,MOTSU,,mono,"Ding, Gegenstand",,
円,Yen,EN,Kreis,,,maru.i,"rund, kreisförmig",,
弁,Sprache,BEN,"Dialekt, unterscheiden",,,,,,
当,zutreffen,TOU,"dieser, passend, Pfand",,,a.taru,"entsprechen, gewinnen",a.teru,"anlegen, anpassen"
定,festsetzen,TEI,,*JOU,,sada.meru / .maru,"festsetzen, bestimmen / festgesetzt werden",sada.ka,"sicher, Zuverlässig"
食,essen,SHOKU,,,,ta.beru,,ku.u,"essen, fressen"
紅,Scharlachrot,KOU,,,,kurenai,,beni,rote Schminke
茶,Tee,CHA,,SA,,,,,
牛,Rind,GYUU,,,,ushi,,,
乳,Milch,NYUU,,,,chichi,"Brust, Muttermilch",,
水,Wasser,SUI,,,,mizu,,,
金,Metall,KIN,Gold,KON,,kane,"Geld, Metall",*kana,
時,Zeit,JI,Stunde,,,toki,"Zeit, Zeitpunkt",,
間,Zwischenraum,KAN,,KEN,,aida,"Zwischenzeit, Zwischenraum",ma,"Zimmer, Zeitraum"
月,Monat,GATSU,,GETSU,,tsuki,Mond,,
日,Sonne,NICHI,Japan,JITSU,,hi,Tag,ka,
曜,Wochentag,YOU,,,,,,,
今,jetzt,KON,,KIN,,ima,,,
何,was,KA,,,,nani,,,wieviele
分,Teil,BUN,,FUN / BU,Minute / Prozent,wa.keru,teilen,wa.karu,verstehen
火,Feuer,KA,,,,hi,,*ho,
木,Baum,MOKU,,BOKU,,ki,Holz,*ko,
土,Erde,DO,,TO,,tsuchi,Boden,,
第,Reihenfolge,DAI,Nummer,,,,,,
課,Abteilung,KA,Lektion,,,,,,
私,ich,SHI,privat,,,watashi,,watakushi,
来,kommen,RAI,,,,ku.ru,,,
願,bitten,GAN,,,,nega.u,"erbitten, wünschen",,
留,anhalten,RYUU,,RU,,to.meru / .maru,"anhalten, befestigen / anhalten, sich aufhalten",todo.meru / .maru,
学,Wissenschaft,GAKU,,,,mana.bu,"lernen, studieren",,
原,Ursprung,GEN,,,,hara,Ebene (unbebaute Fläche),,
大,groß,DAI,,TAI,,oo.kii,,oo,
佐,helfen,SA,,,,,,,
藤,Ranke,TOU,,,,fuji,"Wisteria, Blauregen (bot.)",,
会,treffen,KAI,"Gesellschaft, Versammlung",*E,Verständnis,a.u,,,
社,Firma,SHA,Gemeinschaft,,,yashiro,Shintō-Schrein,,
員,Mitglied,IN,Personal,,,,,,
館,Gebäude,KAN,Hotel,,,,,,
京,Hauptstadt,KYOU,Hauptstadt,*KEI,,,,,
子,Kind,SHI,,SU,,ko,"Kind[Suffix f. weibliche Namen]",,
本,Ursprung,HON,"Haupt-, Buch, [ZEW für lange Objekte]",,,moto,Grundlage,,
語,Sprache,GO,Wort,,,kata.ru,erzählen,,
校,Schule,KOU,Korrektur,,,,,,
文,Text,BUN,Satz,MON,Schriftzeichen,fumi,(Brief),,
化,Veränderung,KA,[Suffix: -ierung],KE,,ba.keru / .kasu,sich verwandeln / verhexen,,
音,Geräusch,ON,sino-japanische Lesung,*IN,,oto,Laut,ne,Klang
楽,Spaß,RAKU,Paradies,GAKU,Musik,tano.shii,erfreulich,tano.shimu,"Freude haben, genießen"
吉,Glück,KICHI,,*KITSU,,yoshi (Verwendung in Namen),,,
田,Reisfeld,DEN,,,,ta,,,
山,Berg,SAN,,,,yama,,,
先,früher,SEN,,,,saki,"Spitze, vorne",ma.zu,"zunächst, als erstes, nun"
昼,Mittag,CHUU,,,,hiru,,,
漢,China,KAN,,,,,,,
字,Schriftzeichen,JI,,,,aza,Ortsteil,,
科,Fachbereich,KA,,,,,,,
休,ruhen,KYUU,,,,yasu.mu,,yasu.meru / .maru,beruhigen / sich erholen
授,Unterricht,JU,,,,sazu.keru / .karu,"geben, lehren / unterrichtet werden",,
業,Beruf,GYOU,Unternehmen,,,waza,Tat,,
銀,Silber,GIN,Silber,,,,,,
行,gehen,KOU,,GYOU,"Zeile,Veranstaltung",i.ku (=yu.ku),fahren,okona.u,durchführen
午,12 Uhr mittags,GO,,,,,,,
前,davor,ZEN,,,,mae,"vor, früher",,
祭,Fest (rel.),SAI,,,,matsu.ri,,matsu.ru,anbeten
絵,Bild,E,Zeichnung,KAI,,,,,
例,Beispiel,REI,,,,tato.eru,vergleichen,tato.eba,beispielsweise
堂,Halle,DOU,"(Tempel-)Halle, Saal",,,,,,
郵,Post,YUU,,,,,,,
便,Post,BIN,Flug,BEN,"Bequemlichkeit, Exkremente",tayo.ri,Nachricht,,
局,Behörde,KYOKU,Amt,,,,,,
図,planen,TO,,ZU,"Abbildung, Grafik",haka.ru,,,
誕,Geburt,TAN,Übertreibung,,,,,,
夏,Sommer,KA,,,,natsu,,,
晩,Abend,BAN,spät,,,,,,
飲,trinken,IN,,,,no.mu,,,
吸,rauchen,KYUU,,,,su.u,einatmen,,
良,gut,RYOU,,,,yo.i,,,
仕,dienen,SHI,,,,tsuka.eru,,,
事,Sache,JI,Tätigkeit,,,koto,"Ding, Sachverhalt",,
勉,Anstrengung,BEN,,,,,,,
強,stark,KYOU,,GOU,,tsuyo.i,,tsuyo.meru / .maru,stärken / stärker werden
起,aufstehen,KI,,,,o.kiru,,o.kosu,"aufwecken, verursachen"
寝,schlafen,SHIN,,,,ne.ru,,ne,Schlaf
帰,zurückkehren,KI,,,,kae.ru / .su,zurückkehren / nach Hause schicken,,
半,Hälfte,HAN,,,,naka.ba,,,
後,später,GO,,KOU,,ato,danach,ushi.ro,hinter
手,Hand,SHU,,,,te,Hand,*ta,
紙,Papier,SHI,,,,kami,,,
酒,Alkohol,SHU,,,,sake,Reiswein,*saka,
朝,Morgen,CHOU,,,,asa,,,
夜,Nacht,YA,,,,yoru,,yo,
新,neu,SHIN,,,,atara.shii,,ara.ta,
自,selbst,JI,,*SHI,,mizuka.ra,(von) selbst,,
友,Freund,YUU,,,,tomo,,,
達,erreichen,TATSU,,,,tachi,[Pluralsuffix],,
話,sprechen,WA,Gespräch,,,hana.su,,hanashi,"Erzählung, Geschichte"
昨,vergangen,SAKU,,,,,,,
渋,herb,JUU,,,,shibu.i,,,
谷,Tal,KOKU,,,,tani,,ya (Verwendung in Namen),
映,Projektion,EI,,,,utsu.su / .ru,widerspiegeln / sich spiegeln,*ha.eru,"gut aussehen, glänzen"
画,Bild,GA,,KAKU,Strich (eines Schriftzeichens),,,,
由,Grund,YUU,,YU,,yoshi,Ursache,,
誰,wer,SUI,,,,dare,,,
名,Name,MEI,,MYOU,,na,"Name, Ruhm",,
机,Tisch,KI,,,,tsukue,,,
窓,Fenster,SOU,,,,mado,,,
箱,Schachtel,,,,,hako,,,
消,löschen,SHOU,,,,ke.su,,ki.eru,erlöschen
辞,Wort,JI,,,,ya.meru,(ein Amt) niederlegen,,
計,messen,KEI,"Plan, Summe",,,haka.ru,(Zeit) messen,*haka.rau,erledigen
傘,Schirm,SAN,,,,kasa,,,
靴,Schuhe,KA,,,,kutsu,,,
携,bei sich tragen,KEI,,,,tazusa.eru / .waru,in der Hand haben / sich beschäftigen mit,,
帯,tragen,TAI,"Gürtel, Zone",,,o.biru,,obi,Gürtel
電,Elektrizität,DEN,,,,,,,
猫,Katze,BYOU,,,,neko,,,
犬,Hund,KEN,,,,inu,,,
英,England,EI,hervorragend,,,,,,
黒,schwarz,KOKU,,,,kuro.i,,kuro,Schwarz
形,Form,KEI,,,,katachi,"Form, Aussehen",kata,
容,Inhalt,YOU,Aussehen,,,,,,
詞,Wort,SHI,,,,,,,
広,breit,KOU,,,,hiro.i,weit(räumig),hiro.meru / .maru,(Abstraktes) verbreiten / sich ausbreiten
狭,eng,KYOU,,,,sema.i,,seba.meru / .maru,verengen / enger werden
小,klein,SHOU,,,,chii.sai,,ko (= o) (Verwendung in Namen),
長,lang,CHOU,Chef,,,naga.i,,,
短,kurz,TAN,,,,mijika.i,,,
高,hoch,KOU,,,,taka.i,"hoch, teuer",taka.meru / .maru,erhöhen / höher werden
安,billig,AN,Friede,,,yasu.i,,yasu.raka,"in Frieden, erleichtert"
暑,heiß,SHO,,,,atsu.i,heiß (Temperatur),,
寒,kalt,KAN,,,,samu.i,kalt (Temperatur),,
古,alt,KO,,,,furu.i,,,
明,hell,MEI,Licht,*MYOU,,aka.rui,heiter,a.kari,Licht
暗,dunkel,AN,,,,kura.i,,,
汚,schmutzig,O,,,,kitana.i,,yogo.su / .reru (= kega.su / .reru),beschmutzen / schmutzig werden
赤,rot,SEKI,,,,aka.i,,aka,Rot
青,blau,SEI,,,,ao.i,"grün, jung",ao,"Blau, Grün"
白,weiß,HAKU,,*BYAKU,,shiro.i,,shiro,Weiß
黄,gelb,OU,,*KOU,,ki,Gelb,*ko,Gold
色,Farbe,SHOKU,,SHIKI,,iro,"Farbe, sinnliche Lust",,
静,still,SEI,,*JOU,Vene,shizu.ka,"sanft, ruhig",,
元,Ursprung,GEN,,GAN,,moto,"Ursprung, ursprünglich",,
気,Geist,KI,"Stimmung, Luft, Gas",KE,,,,,
部,Teil,BU,"Abteilung, Exemplar",,,,,,
屋,Geschäft,OKU,,,,ya,Haus,,
供,Begleiter,KYOU,liefern,,,tomo,,sona.eru,(Gaben) darbringen
帽,Hut,BOU,,,,,,,
車,Wagen,SHA,,,,kuruma,"Auto, Rad",,
花,Blume,KA,,,,hana,"Blume, Blüte",,
外,Außen,GAI,,*GE,Chirurgie,soto,,hoka,ein anderer
習,lernen,SHUU,,,,nara.u,"erlernen, üben",,
冷,kalt,REI,,,,tsume.tai,kalt (Gegenstand),hi.eru / hi.yasu,kalt werden / kühlen
蔵,Speicher,ZOU,,,,kura,,,
庫,Speicher,KO,,,,,,,
中,Mitte,CHUU,"China, während",,,naka,"Mitte, mittendrin",,
上,oben,JOU,,*SHOU,,ue,,a.geru / .garu,"erhöhen, heben / hinaufgehen,ansteigen"
菓,Süßigkeit,KA,,,,,,,
母,Mutter,BO,,,,haha,,o.kaa (-san),[Anrede der Mutter]
位,Stellung,I,,,,kurai,,,
置,legen,CHI,,,,o.ku,"hinstellen, hinlegen",,
表,ausdrücken,HYOU,"Tabelle, Liste",,,arawa.su / arawa.reru,ausdrücken / zum Ausdruck kommen,omote,Außenseite
下,unten,KA,,GE,,shita,,sa.geru / .garu,senken / sinken
左,links,SA,,,,hidari,,,
右,rechts,U,,YUU,,migi,,,
隣,daneben,RIN,,,,tonari,Nachbarschaft,,
病,Krankheit,BYOU,,,,yamai,,ya.mu,erkranken
院,Institution,IN,"Anstalt, Palast, Tempel",,,,,,
駅,Bahnhof,EKI,,,,,,,
男,Mann,DAN,,*NAN,Sohn,otoko,,,
皿,Teller,,,,,sara,,,
公,öffentlich,KOU,,,,ooyake,Öffentlichkeit,,
園,Garten,EN,,,,sono,,,
宿,Unterkunft,SHUKU,,*JUKU,,yado,,yado.su / .ru,beherbergen / übernachten
伸,ausdehnen,SHIN,,,,no.basu / .biru,ausdehnen / länger werden,,
洗,waschen,SEN,,,,ara.u,,,
武,Krieger,BU,Samurai(-stand),*MU,,,,,
階,Stockwerk,KAI,Stiege,,,,,,
店,Geschäft,TEN,,,,mise,,,
面,Gesicht,MEN,"Fläche, Maske",,,omo ,,omote(= tsura),"Gesicht, Fratze"
所,Ort,SHO,,,,tokoro,Platz,,
人,Mensch,JIN,,NIN,,hito,,,
地,Erdboden,CHI,Lage,JI,,,,,
喫,essen,KITSU,"trinken, rauchen",,,,,,
粧,Schminke,SHOU,,,,,,,
品,Ware,HIN,,,,shina,Qualität,,
果,Ergebnis,KA,Frucht ,,,ha.te,Ende,ha.tasu / .teru,zu Ende bringen / enden
好,mögen,KOU,,,,su.ki,gern haben,kono.mu,mögen
料,Gebühr,RYOU,Material,,,,,,
理,Vernunft,RI,Prinzip,,,,,,
鈴,Glöckchen,REI,,,,suzu,,,
幸,Glück,KOU,,,,shiawa.se,,saiwa.i,glücklich
和,Japan,WA,Harmonie,,,nago.yaka,"sanft, friedlich",yawa.rageru,"lindern, besänftigen"
納,aufbewahren,NOU,,*NA ,,osa.meru / .maru,"bezahlen, aufbewahren / bezahlt werden, in Ordnung kommen",,
豆,Bohne,TOU,,,,mame,,,
嫌,nicht mögen,KEN,,*GEN,,iya,unangenehm,kira.u,verabscheuen
池,Teich,CHI,,,,ike,,,
袋,Sack,TAI,,,,fukuro,,,
国,Land,KOKU,,,,kuni,Heimat,,
冬,Winter,TOU,,,,fuyu,,,
動,Bewegung,DOU,,,,ugo.ku / .kasu,sich bewegen / bewegen,,
美,Schönheit,BI,,,,utsuku.shii,schön,,
術,Technik,JUTSU,Kunst,,,,,,
財,Vermögen,ZAI,Vermögen,*SAI,,,,,
布,Tuch,FU,verbreiten,,,nuno,Stoff,,
落,fallen,RAKU,,,,o.tosu,fallen lassen,o.chiru,herunterfallen
交,Verkehr,KOU,,,,maji.waru,"einander kreuzen, Umgang haben mit",ma.zeru / .zaru,mischen / sich vermischen
番,Nummer,BAN,Wache,,,,,,
警,Polizei,KEI,Warnung,,,,,,
察,beurteilen,SATSU,untersuchen,,,,,,
官,Beamter,KAN,Behörde,,,,,,
切,schneiden,SETSU,,,,ki.ru / .reru,schneiden / reißen [intr.],,
捜,suchen,SOU,,,,saga.su,suchen,,
方,Richtung,HOU,,,,kata,Person,,
夕,Abend,SEKI,,,,yuu,,,
週,Woche,SHUU,,,,,,,
去,Vergangenheit,KO,,KYO,,sa.ru,"vergehen, weggehen",,
年,Jahr,NEN,,,,toshi,,,
濯,waschen,TAKU,,,,,,,
雨,Regen,U,,,,ame,,*ama,
歌,Lied,KA,,,,uta,"Lied, Gedicht",uta.u,singen
野,Feld,YA,wild,,,no,,,
菜,Gemüse,SAI,,,,na,Blattgemüse,,
千,Tausend,SEN,,,,chi,,,
住,wohnen,JUU,,,,su.mu,,,
号,Nummer,GOU,Signal,,,,,,
連,verbinden,REN,,,,tsu.reru,"(jmd.) mitnehmen, begleiten",,
絡,umschlingen,RAKU,,,,kara.mu (=kara.maru),sich verwickeln,,
忘,vergessen,BOU,,,,wasu.reru,,,
丸,rund,GAN,,,,maru.i,,maru.meru,rund machen
四,vier,SHI,,,,yot.tsu,,yon,
角,Ecke,KAKU,Winkel,,,kado,,tsuno,Horn
題,Thema,DAI,Titel,,,,,,
作,anfertigen,SAKU,,SA,,tsuku.ru,,,
家,Haus,KA,[Berufssuffix],KE,Geschlecht,ie,Familie,uchi,mein Zuhause
借,ausborgen,SHAKU,,,,ka.riru,,,
貸,verleihen,TAI,,,,ka.su,,,
返,zurückgeben,HEN,,,,kae.su / .ru,zurückgeben / zurückkommen [Hilfsverb],,
天,Himmel,TEN,,,,ame,,*ama,
終,Ende,SHUU,,,,o.waru,enden,o.eru,beenden
約,Vereinbarung,YAKU,etwa,,,,,,
万,zehntausend,MAN,,BAN,unzählig,,,,
成,werden,SEI,,,,na.ru,,,
空,Luft,KUU,,,,sora,Himmel,a.keru / a.ku,räumen / frei werden
港,Hafen,KOU,,,,minato,,,
記,aufschreiben,KI,,,,shiru.su,,,
者,Person,SHA,,,,mono,,,
報,Nachricht,HOU,,,,muku.iru,"ersetzen (eines Schadens), heimzahlen",,
告,Mitteilung,KOKU,,,,tsu.geru,"mitteilen, anzeigen",,
女,Frau,JO,,"NYO,*NYOU",,onna,,*me,
旅,Reise,RYO,,,,tabi ,,,
少,wenig,SHOU,,,,suku.nai,,suko.shi,
痛,Schmerz,TSUU,,,,ita.mi,,ita.meru / .mu,Schmerzen zufügen / schmerzen
毎,jeder,MAI,,,,,,,
符,Zeichen,FU,,,,,,,
予,im Voraus,YO,,,,arakaji.me,,,
変,Veränderung,HEN,,,,ka.eru / .waru,verändern / sich verändern,,
東,Osten,TOU,,,,higashi,,,
北,Norden,HOKU,,,,kita,,,
海,Meer,KAI,,,,umi,,,
道,Weg,DOU,,,,michi,,,
在,Existenz,ZAI,,,,a.ru,exisitieren,,
過,vorübergehen,KA,,,,su.giru,überschreiten,su.gosu,"(Zeit) verbringen, überschreiten"
肯,Zustimmung,KOU,,,,,,,
否,Verneinung,HI,,,,ina,nein,,
親,Eltern,SHIN,vertraut,,,oya,,shita.shii,vertraut
鮮,frisch,SEN,Korea,,,aza.yaka,,,
光,Licht,KOU,,,,hikari,Licht,hika.ru,leuchten
遠,entfernt,EN,,,,too.i,,too.ku,Ferne
近,nah,KIN,,,,chika.i,,chika.ku,Nähe
多,viel,TA,,,,oo.i,,oo.ku,eine Menge von
難,schwierig,NAN,Not,,,muzuka.shii,,gata.i [Suffix an RYK],schwer zu…
全,alles,ZEN,,,,sube.te (=matta.ku),ganz,,
魚,Fisch,GYO,,,,sakana,,uo,(lebender) Fisch
肉,Fleisch,NIKU,,,,,,,
不,un-,FU,nicht,BU,,,,,
利,Vorteil,RI,Profit,,,ki.ku,funktionieren,,
江,Strom,KOU,,,,e,Bucht,,
島,Insel,TOU,,,,shima,,,
務,Dienst,MU,,,,tsuto.meru,seine Pflicht erfüllen,,
説,sprechen,SETSU,"Ansicht,Meinung",*ZEI,,to.ku,erklären,,
証,Beweis,SHOU,,,,,,,
持,haben,JI,,,,mo.tsu,halten,,
声,Stimme,SEI,,,,koe,,,
入,hineingehen,NYUU,,,,hai.ru (=i.ru),,i.reru,hineingeben
伝,übermitteln,DEN,Biographie,,,tsuta.eru / .waru,übermitteln / übermittelt werden,tsuta.u,entlanggehen
砂,Sand,SA,,SHA,,suna,,,
糖,Zucker,TOU,,,,,,,
取,nehmen,SHU,,,,to.ru / .reru,"nehmen / sich ablösen, produziert werden",,
写,Fotografie,SHA,,,,utsu.su / .ru,"abschreiben, fotografieren / abgeschrieben, fotografiert werden",,
真,Wahrheit,SHIN,,,,ma,gänzlich,,
撮,fotografieren,SATSU,,,,to.ru,fotografieren,,
遅,spät,CHI,,,,oso.i,"spät, langsam",oku.reru / .rasu,sich verspäten / aufschieben
泳,schwimmen,EI,,,,oyo.gu,,,
禁,Verbot,KIN,,,,,,,
止,anhalten,SHI,,,,to.meru / .maru,anhalten (trans.) / anhalten (intrans.),ya.meru / ya.mu,beenden / aufhören
騒,lärmen,SOU,,,,sawa.gu,,,
使,benutzen,SHI,Bote,,,tsuka.u,,,
開,öffnen,KAI,,,,a.keru / .ku,öffnen / sich öffnen,hira.keru / .ku,"erschlossen sein / sich öffnen, eröffnen"
座,sitzen,ZA,Sitzplatz,,,suwa.ru,sich setzen,,
雑,Gemisch,ZATSU,Verschiedenes,,,,,,
誌,aufschreiben,SHI,Zeitschrift,,,,,,
放,loslassen,HOU,,,,hana.su / .reru,loslassen / sich befreien,hana.tsu,abschießen
探,(unter-)suchen,TAN,,,,saga.su,,sagu.ru,"abtasten, nachforschen"
押,drücken,OU,,,,o.su,,o.saeru,festhalten
棚,Regal,,,,,tana,,,
機,Maschine,KI,Gelegenheit,,,hata,Webstuhl,,
額,Summe,GAKU,,,,hitai,Stirn,,
剤,Medikament,ZAI,chemischer Stoff,,,,,,
風,Wind,FUU,Stil,FU,,kaze,,*kaza,
呂,Klang,RO,Bad,,,,,,
着,Kleidung,CHAKU,,,,tsu.ku / .keru,ankommen / Kelidung anlegen,ki.ru / .seru,(Gewand) tragen / jmd. ankleiden
規,Norm,KI,,,,,,,
則,Norm,SOKU,,,,,,,
門,Tor,MON,,,,kado,,,
限,Begrenzung,GEN,,,,kagi.ru,begrenzen,kagi.ri,"Grenze,möglichst"
横,Seite,OU,willkürlich,,,yoko,"Seite, waagrecht",,
浜,Strand,HIN,,,,hama,,,
団,Gruppe,DAN,Gruppe,TON,Kissen,,,,
体,Körper,TAI,Gestalt,TEI,,karada,,,
熱,heiß,NETSU,"Fieber, Eifer",,,atsu.i,heiß (Objekt),,
幹,Haupt-,KAN,,,,miki,Baumstamm,,
線,Linie,SEN,,,,,,,
出,hinausgehen,SHUTSU,,,,da.su / de.ru,"herausnehmen / hinausgehen, (in einer Geschichte) vorkommen",,
降,aussteigen,KOU,,,,o.riru / .rosu,aussteigen / aussteigen lassen,fu.ru,fallen (Niederschlag)
乗,einsteigen,JOU,Multiplikation,,,no.seru / .ru,"beladen, einsteigen lassen / einsteigen",,
途,Weg,TO,,,,,,,
憩,Rast,KEI,,,,iko.u,rasten,,
川,Fluss,SEN,,,,kawa,,,
歩,Schritt,HO,,,,aru.ku,zu Fuß gehen,ayu.mu,beschreiten
換,umtauschen,KAN,,,,ka.eru / .waru,umtauschen / umgetauscht werden,,
台,Gestell,DAI,"Podium, [ZEW für Geräte]",TAI,,,,,
場,Platz,JOU,,,,ba,Ort,,
橋,Brücke,KYOU,,,,hashi,,,
鉄,Eisen,TETSU,,,,,,,
転,rollen,TEN,,,,koro.gasu / garu (=.geru),rollen lassen / rollen [intrans.],koro.bu,hinfallen
浅,seicht,SEN,,,,asa.i,"seicht, schwach (Farbe), oberflächlich",,
草,Gras,SOU,schreiben,,,kusa,"Gras, Unkraut",,
央,Zentrum,OU,,,,,,,
神,Gott,SHIN,,JIN,,kami,,,
舞,Tanz,BU,,,,ma.u,"tanzen, flattern",mai,Tanz
添,hinzufügen,TEN,,,,so.eru / .u,"hinzufügen / begleiten, entsprechen",,
発,"abschießen, abschicken",HATSU,beginnen,,,,,,
林,Hain,RIN,,,,hayashi,Wäldchen,,
